5000,Carmel,Carmel High School,520 E Main St,Carmel,46032,46032-2299
4362,Ben Davis,Ben Davis High School,1200 N Girls Sch Rd,Indianapolis,46214,46214-6699
3772,North Central,North Central High School,1801 E 86th St,Indianapolis,46240,46240-2396
3736,Warren Central,Warren Central High School,9500 E 16th St,Indianapolis,46229,46229-2099
3345,Penn,Penn High School,56100 Bittersweet Rd,Mishawaka,46545,46545-7797
3306,Pike,Pike High School,5401 W 71st St,Indianapolis,46268,46268-2462
3250,Fishers,Fishers High School,13000 Promise Rd,Fishers,46038,46038-0000
3219,Lake Central,Lake Central High School,8400 Wicker Ave,Saint John,46373,46373-9712
3118,Hamilton Southeastern,Hamilton Southeastern HS,13910 E 126th St,Fishers,46037,46037-0000
2891,Avon,Avon High School,7575 E CR 150 S,Avon,46123,46123-8193
2882,Noblesville,Noblesville High School,18111 Cumberland Rd,Noblesville,46060,46060-0000
2763,Crown Point,Crown Point High School,1500 S Main St,Crown Point,46307,46307-3894
2659,Franklin Central,Franklin Central High School,6215 S Franklin Rd,Indianapolis,46259,46259-9697
2629,Brownsburg,Brownsburg High School,1000 S Odell St,Brownsburg,46112,46112-1929
2520,Portage,Portage High School,6450 US Hwy 6,Portage,46368,46368-5110
2500,Center Grove,Center Grove Elementary School,2455 S Morgantown Rd,Greenwood,46143,46143-8098
2469,Lawrence North,Lawrence North High School,7802 N Hague Rd,Indianapolis,46256,46256-1799
2351,Perry Meridian,Perry Meridian High School,401 W Meridian School Rd,Indianapolis,46217,46217-4299
2348,Homestead Senior,Homestead Senior High School,4310 Homestead Rd,Fort Wayne,46814,46814-5497
2340,Lawrence Central,Lawrence Central High School,7300 E 56th St,Indianapolis,46226,46226-1306
2280,Carroll,Carroll High School,3701 Carroll Rd,Fort Wayne,46818,46818-9559
2214,Merrillville,Merrillville High School,276 E 68th Pl,Merrillville,46410,46410-3587
2185,Southport,Southport High School,971 E Banta Rd,Indianapolis,46227,46227-2299
2176,Warsaw Community,Warsaw Community High School,1 Tiger Ln,Warsaw,46580,46580-4807
2146,Westfield,Westfield High School,18250 N Union St,Westfield,46074,46074-9337
2097,Northrop,Northrop High School,7001 Coldwater Rd,Fort Wayne,46825,46825-3696
2082,Valparaiso,Valparaiso High School,2727 N Campbell St,Valparaiso,46385,46385-2399
2076,Chesterton Senior,Chesterton Senior High School,2125 S 11th St,Chesterton,46304,46304-2297
2066,Jeffersonville,Jeffersonville High School,2315 Allison Ln,Jeffersonville,47130,47130-5951
2031,Lafayette Jefferson,Lafayette Jefferson High School  ,1801 South 18th Street,Lafayette,47905,47905
2017,Columbus North,Columbus North High School,1400 25th St,Columbus,47201,47201-4384
1946,LaPorte,LaPorte High School,602 F St,LaPorte,46350,46350-5565
